tokens,pos_tags
आदमी,NN
कबले,WQ
भरमाइल,VM
रही,VAUX
।,SYM
सभे,PRP
पधारो,VM
आ,CC
दावत,NN
में,PSP
खा-पी,NN
के,PSP
गजेन्दर,NNP
जी,RP
के,PSP
आसीरवाद,NN
देव,VM
जवना,PRP
से,PSP
उनकर,PRP
संन्यास,NN
मार्ग,NN
के,PSP
विघिन-बाधा,NN
दूर,NN
होखे,VM
।,SYM
बिआह,NN
के,PSP
नेवता,NN
ना,NEG
भइला,VM
से,CC
बहुत,QF
लोग,NN
के,PSP
चित्त,NN
के,PSP
शांति,NN
मिलल,VM
।,SYM
ना,RP
त,CC
एह,DEM
साल,NN
के,PSP
कड़ा,JJ
लगन,NN
में,PSP
एके,QC
दिन,NN
में,PSP
चार-चार,QC
पांच-पांच,QC
गो,RP
नेवता-सगुन,NN
करे,VM
में,PSP
हालत,NN
खस्ता,JJ
हो,VM
जात,VM
रहे,VAUX
।,SYM
गजेन्दर,NNP
बाबू,NN
के,PSP
नेवता,NN
में,PSP
खाली,RP
भोजन,NN
आ,CC
संन्यास,NN
के,PSP
जिकिर,NN
रहे,VM
।,SYM
अब,NST
ई,PRP
पता,VM
नइखे,NEG
चलत,VM
कि,CC
ऊ,PRP
अचानके,RB
साधू,NN
बने,VM
के,PSP
काहे,WQ
सोच,VM
लेहलन,VAUX
हा,RP
।,SYM
परिवार,NN
में,PSP
आपन,PRP
मेहरारु,NN
आ,CC
लइकिन,NN
से,PSP
कवनो,PRP
खटपट,NN
त,RP
सुने,VM
में,PSP
आइल,VAUX
ना,NEG
।,SYM
एगो,QC
बात,NN
बहुत,QF
साल,NN
पहिले,NST
पता,NN
चलल,VM
रहे,VAUX
कि,CC
मोकदमा,NN
में,PSP
हरला,VM
के,PSP
बाद,NST
ऊ,PRP
इनार,NN
में,PSP
कूद,VM
के,PSP
जान,NN
देवे,VM
पर,PSP
तइयार,VM
रहले,VAUX
।,SYM
एगो,QC
गोड़,NN
लटका,VM
के,PSP
अबहीं,NST
ढेकुल,NN
के,PSP
रसरी,NN
पकड़लहीं,VM
रहन,VAUX
तबे,RB
लोग,NN
देख,VM
लीहल,VAUX
।,SYM
पांच,QC
जाना,NN
उनकरा,PRP
के,PSP
घींचघांच,VM
के,PSP
बाहर,RB
कइल,VM
।,SYM
ओही,DEM
घरी,NST
इनार,NN
से,PSP
मुक्ति,NN
मिल,VM
गइल,VAUX
रहित,VAUX
त,CC
आज,NST
हई,DEM
संन्यास,NN
के,PSP
कवन,PRP
जरुरत,VM
रहे,VAUX
।,SYM
गिरधारी,NNP
भगत,NNP
तइयार,VM
भइले,VAUX
।,SYM
नाहियों,RP
त,CC
तीन,QC
कोस,NN
जमीन,NN
नापे,VM
के,PSP
रहे,VAUX
।,SYM
आपन,PRP
मोटर,NN
साइकिल,NN
के,PSP
पेट्रोल,NN
टंकी,NN
लाक,VM
करत,VM
रहे,VAUX
।,SYM
ऊ,PRP
मेकेनिक,NN
के,PSP
दोकान,NN
में,PSP
पड़ल,VM
रहे,VAUX
।,SYM
पड़ोसी,NN
के,PSP
जीप,NN
रहे,VM
मगर,CC
एह,DEM
घरी,NST
ओह,PRP
लोग,NN
से,PSP
बोल-चाल,NN
बंद,VM
रहे,VAUX
।,SYM
एह,PRP
से,CC
जीप,NN
मांगल,VM
जायज,NN
ना,NEG
रहे,VAUX
।,SYM
अब,NST
आन्हार,NN
होखे,VM
लागल,VAUX
।,SYM
तले,CC
उनकर,PRP
सरपुत,NN
आपन,PRP
मोटर,NN
साइकिल,NN
दउड़वले,VM
आ,VM
गइले,VAUX
।,SYM
नया,JJ
मोटरसाइकिल,NN
पा,VM
के,VAUX
ओकर,PRP
आवारागर्दी,NN
बढ़,VM
गइल,VAUX
रहे,VAUX
रास्ता,NN
में,PSP
केहू,PRP
के,PSP
ठोकर,NN
मार,VM
के,PSP
फूफा,NN
के,PSP
लगे,PSP
लुकाए,VM
आइल,VM
रहे,VAUX
।,SYM
गिरधारी,NNP
भगत,NNP
दोसरा,JJ
राह,NN
से,PSP
ओकरा,PRP
के,PSP
साथे,PSP
लेके,VM
निकल,VM
गइले,VAUX
।,SYM
गजेन्दर,NNP
बाबू,NN
के,PSP
दुआर,NN
प,PSP
सांझ,NN
होत-होत,RB
डेढ़,QC
सौ,QC
लोग,NN
जुट,VM
गइल,VAUX
।,SYM
आस-पास,RB
के,PSP
साधू,NN
-संन्यासी,NN
भी,RP
कम,QF
ना,NEG
रहले,VM
।,SYM
साधू,NN
लोग,NN
के,PSP
झुंड,NN
में,PSP
निर्गुन,NN
भजन,NN
चलत,VM
रहे,VAUX
।,SYM
अब,NST
गजेन्दर,NNP
बाबू,NN
के,PSP
नया,JJ
गेरुआ,NN
पेन्हावे,VM
के,PSP
तइयारी,VM
होखे,VAUX
लागल,VAUX
।,SYM
मेहरारु,NN
लोग,NN
के,PSP
आंख,NN
लोर,NN
से,PSP
डबडबा,VM
जात,VAUX
रहे,VAUX
।,SYM
एक,QC
जानी,NN
बोलली,VM
गजेन्दर,NNP
त,RP
आपन,PRP
जवानी,NN
माटी,NN
में,PSP
मिलावे,VM
जात,VM
बाड़े,VAUX
।,SYM
लोग,NN
पैंसठ,QC
साल,NN
के,PSP
उमिर,NN
तक,PSP
आपन,PRP
घर,NN
गृहस्थी,NN
संभारेला,VM
तब,RB
कहीं,PRP
सन्यासी,NN
बने,VM
के,PSP
सोचेला,VM
।,SYM
पता,VM
ना,NEG
असली,JJ
कारण,NN
का,WQ
बा,VAUX
जे,CC
ऊ,PRP
साधू,NN
बने,VM
के,PSP
एक-ब-एक,QC
ठान,VM
लेहले,VAUX
।,SYM
एगो,QC
दोसर,PRP
अकिला,JJ
बुआ,NN
लोग,NN
के,PSP
बात,NN
पर,PSP
हंसली,VM
।,SYM
अभी,NST
दम,NN
धरी,VM
सभे,PRP
।,SYM
दू,QC
दिन,NN
में,PSP
सब,QF
बात,NN
फरिया,VM
जाई,VAUX
।,SYM
अभी,NST
हड़बड़ाइल,JJ
नोनिया,NN
नियन,PSP
माटी,NN
मत,NEG
कोड़अ,VM
लोग,VAUX
।,SYM
ओने,RB
गजेन्दर,NNP
बो,RP
भारी,JJ
उदासी,NN
में,PSP
डूबल,VM
रहलीं,VAUX
।,SYM
आज,NST
उनकर,PRP
हीरा,JJ
नियन,PSP
मरद,NN
माटी,NN
बने,VM
जात,VM
बाड़े,VAUX
।,SYM
गेरुआ,NN
पेन्हा,VM
के,PSP
कमंडल,NN
थमले,VM
ऊ,PRP
दुनिया,NN
के,PSP
कवन,PRP
भलाई,NN
क,VM
दिहें,VAUX
।,SYM
अपने,PRP
घर,NN
में,PSP
एतना,QF
काम,NN
पड़ल,VM
बा,VAUX
।,SYM
उहां,PRP
के,PSP
मुंह,NN
से,PSP
हमरा,PRP
सामने,NST
झूठो,NN
ना,NEG
निकलल,VM
ह,VAUX
कि,CC
तुहूं,PRP
साथे,PSP
चलअ,VM
।,SYM
हमरा,PRP
साथे,PSP
सधुआइन,NN
बन,VM
के,PSP
रहिहअ,VM
।,SYM
बड़-बड़,JJ
साधू-महंथ,NN
लोग,NN
आपन-आपन,PRP
सधुआइन,NN
साथे,PSP
रखेला,VM
।,SYM
आ,CC
एने,RB
आपन,PRP
कानून,NN
इहें,PRP
का,PSP
अलगे,NN
रखीं,VM
लें,VAUX
।,SYM
भोज,NN
के,PSP
लोग,NN
खूब,QF
अड़ंच,NN
के,PSP
खाइल,VM
।,SYM
हलवाई,NN
लोग,NN
के,PSP
दल,NN
पूड़ी-कचौड़ी,NN
खीर,NN
सब्जी,NN
बनावे,VM
में,PSP
जुटल,VM
रहे,VAUX
।,SYM
तबले,CC
हल्ला,NN
हो,VM
गइल,VAUX
कि,CC
आसमान,NN
बदरी,NN
से,PSP
लदर,VM
गइल,VAUX
बा,VAUX
।,SYM
कहीं,CC
भगवान,NN
जी,RP
आ,VM
गइले,VAUX
त,CC
सब,QF
व्यंजन,NN
पानी,NN
में,PSP
छिलबिल,NN
हो,VM
जाई,VAUX
।,SYM
खाइल-पीअल,NN
जल्दी-जल्दी,RB
खतम,VM
करीं,VM
लोग,NN
।,SYM
सभे,PRP
पहिले,NST
भोजन,NN
में,PSP
लागल,VM
।,SYM
संन्यास,NN
के,PSP
प्रोग्राम,NN
बादे,NST
में,PSP
होई,VM
।,SYM
संन्यास,NN
के,PSP
पगड़ी,NN
जोड़-जामा,NN
जवना,DEM
महात्मा,NN
के,PSP
हाथे,NN
पेहनावे,VM
के,PSP
रहे,VAUX
उनकरा,PRP
पेट,NN
में,PSP
अचके,RB
बाधा,NN
उपट,VM
गइल,VAUX
।,SYM
पेट,NN
में,PSP
खीर-पूड़ी,NN
के,PSP
मात्रा,QF
चहुंप,VM
गइल,VAUX
रहे,VAUX
।,SYM
गजेन्दर,NNP
बाबू,NN
तीन,QC
हाली,NST
आ,VM
के,PSP
उनकर,PRP
हाल-चाल,NN
पूछ,VM
गइले,VAUX
।,SYM
डाक्टरो,NN
आके,VM
कहले,VM
कि,CC
साधू,NN
बाबा,NN
के,PSP
पेट,NN
से,PSP
पहिले,NST
खीर-पूड़ी,NN
निकाले,VM
के,PSP
उपाय,NN
कइल,VM
जाई,VAUX
तब,CC
दवा,NN
देल,VM
जाई,VAUX
।,SYM
खरबीरवा,JJ
दवा,NN
धांय-धांय,RB
दियात,VM
रहे,VAUX
बाकिर,CC
बाबा,NN
के,PSP
पेट,NN
फूल,VM
के,PSP
नगाड़ा,NN
भइल,VAUX
रह,VAUX
।,SYM
दरद,NN
नरम,NN
ना,NEG
होत,VM
रहे,VAUX
।,SYM
ढेकार,NN
भा,CC
गैस-फैस,NN
गुमसुम,NN
रहे,VAUX
।,SYM
बाबा,NN
आंख,NN
मूंदले,VM
पड़ल,VM
रहन,VAUX
।,SYM
एगो,QC
संतमूर्ति,NN
प्रवचन,NN
देबे,VM
में,PSP
लागल,VM
रहले,VAUX
मनुष्य,NN
जतना,RB
ही,RP
छटपटाला,VM
ममता,NN
के,PSP
रस्सी,NN
ओतने,RB
ही,RP
कसले,VM
जाले,VAUX
।,SYM
सवाल,NN
रहे,VM
कि,CC
गजेन्दर,NNP
बाबू,NN
के,PSP
संन्यास,NN
देवे,VM
के,PSP
जिमा,NN
सुखारी,NNP
बाबा,NN
के,PSP
ही,RP
संउपल,VM
गइल,VAUX
रहे,VAUX
।,SYM
आ,CC
उनकर,PRP
हालत,NN
अइसन,PRP
हो,VM
गइल,VAUX
।,SYM
कुछ,PRP
बुजुर्ग,JJ
लोग,NN
बतावल,VM
कि,CC
संन्यास,NN
ग्रहन,VM
करे,VM
के,PSP
जब,PRP
दिन-मुहूरत,NN
रोपा,VM
गइल,VAUX
बा,VAUX
त,CC
ई,DEM
काम,NN
ओही,DEM
मुहूरत,NN
में,PSP
कइल,VM
उचित,NN
होई,VAUX
।,SYM
बेमारी,NN
प,PSP
केकर,PRP
बस,NN
बा,VM
।,SYM
संत-साधू,NN
लोग,NN
एही,PRP
तरे,PSP
बेमार,NN
पड़त,VM
रहेला,VAUX
।,SYM
भोज,NN
के,PSP
हउंहार,NN
में,PSP
दू-चार,QC
आदमी,NN
अइसनो,PRP
आइल,VM
रहले,VAUX
जेकरा,PRP
गजेन्दर,NNP
बाबू,NN
से,PSP
कुछ,PRP
विशेष,JJ
बात,NN
करे,VM
के,PSP
रहे,VAUX
।,SYM
संन्यासी,NN
बनते,VM
गजेन्दर,NNP
बाबू,NN
कहीं,PRP
पिछला,NST
हिसाब,NN
भुला,VM
गइले,VAUX
तब,RB
त,RP
भारी,QF
घाटा,NN
लागी,VM
।,SYM
गजेन्दर,NNP
के,PSP
बहतर,QC
साल,NN
के,PSP
बपसी,NN
के,PSP
दोसरे,JJ
चिन्ता-फिकिर,NN
घुलत,VM
रहले,VAUX
बबुआ,NN
तू,PRP
त,RP
साधू,NN
बनके,VM
घर,NN
से,PSP
चल,VM
जइबअ,VAUX
।,SYM
फेर,CC
कोर्ट,NN
कचहरी,NN
में,PSP
तीन,QC
बीगहा,NN
खेत,NN
पर,PSP
आठ,QC
साल,NN
से,PSP
मोकदमा,NN
चलत,VM
बा,VAUX
त,RP
ओकर,PRP
का,WQ
होई,VM
।,SYM
हमरा,PRP
जइसन,DEM
बूढ़-पुरनिया,NN
से,PSP
अब,NST
कातना,RB
सपरी,VM
।,SYM
ओने,RB
बीसनाथ,NNP
चौधरी,NNP
गजेन्दर,NNP
बाबू,NN
के,PSP
कान,NN
में,PSP
धीरे,RB
से,PSP
कहले,VM
टैक्टर,NN
वाला,PSP
छ,QC
सौ,QC
रुपिया,NN
आज,NST
तक,PSP
ले,RP
बाकिए,VM
रह,VM
गइल,VAUX
ए,INJ
बाबू,NN
।,SYM
एगो,QC
कुर्सी,NN
प,PSP
कोना,NN
में,PSP
बइठल,VM
समधी,NN
जी,RP
आंख,NN
पोंछत,VM
गजेन्दर,NNP
से,PSP
कहले,VM
शादी,NN
वाला,PSP
चार,QC
हजार,NN
हम,PRP
छोड़े,VM
के,PSP
तइयार,VM
बानी,VAUX
बाकिर,CC
अपने,PRP
भी,RP
आपन,PRP
हठ,NN
तेयाग,VM
के,PSP
घरे,NN
प,PSP
रहीं,VAUX
।,SYM
एह,DEM
उमिर,NN
में,PSP
राउर,PRP
साधू-संन्यासी,NN
बनल,VM
सोभा,NN
नइखे,NEG
देत,VM
।,SYM
गजेन्दर,NNP
सबके,PRP
बात,NN
चुपचाप,NN
सुन,VM
लिहले,VAUX
।,SYM
मुहूरत,NN
हो,VM
गइल,VAUX
।,SYM
दोसरा,JJ
साधू,NN
के,PSP
हाथ,NN
में,PSP
गेरुआ,JJ
वस्त्र,NN
दिया,VM
गइल,VAUX
।,SYM
सुखारी,NNP
बाबा,NN
के,PSP
हालत,NN
में,PSP
कवनो,PRP
सुधार,NN
ना,NEG
भइल,VM
।,SYM
तले,CC
एही,PRP
बीच,PSP
पड़ोसी,NN
के,PSP
भुसउल,NN
में,PSP
आग,NN
लाग,VM
गइल,VAUX
।,SYM
भगदड़,NN
मच,VM
गइल,VAUX
।,SYM
लोग,NN
आग,NN
बुतावे,VM
लागल,VAUX
।,SYM
गजेन्दर,NNP
के,PSP
भुसउल,NN
लगहीं,NST
रहे,VAUX
।,SYM
ओमे,PRP
नौ,QC
बोरा,NN
गेहूं,NN
धइल,VM
रहे,VAUX
।,SYM
गजेन्दरो,NNP
कूद-कूद,VM
के,PSP
भुसउल,NN
में,PSP
बाल्टी,NN
से,PSP
पानी,NN
फेंके,VM
लगले,VAUX
।,SYM
अब,NST
दोसरे,JJ
चिलफिल,NN
लाग,VM
गइल,VAUX
।,SYM
एगो,QC
आदमी,NN
आके,VM
बोलल,VM
ए,INJ
गदेन्दर,NNP
बाबू,NN
।,SYM
सुखारी,NNP
बाबा,NN
के,PSP
हालत,NN
ठीक,NN
नइखे,NEG
।,SYM
एने,RB
सन्यास,NN
लेबे,VM
के,PSP
घड़ी,NST
बीतल,VM
जात,VM
रहे,VAUX
।,SYM
केहू,PRP
कहल,VM
साधू-संन्यासी,NN
लोग,NN
घड़ी-मुहू्रत,NST
के,PSP
फेर,NN
में,PSP
ना,NEG
पड़ेला,VM
।,SYM
सुखारी,NNP
बाबा,NN
के,PSP
खटिया,NN
प,PSP
लोटा,VM
के,PSP
असपताल,NN
ले,VM
जाए,VM
के,PSP
तइयारी,NN
भइल,VAUX
।,SYM
गजेन्दर,NNP
के,PSP
मन,NN
फिकिर,NN
में,PSP
पड़,VM
गइल,VAUX
।,SYM
संन्यास,NN
के,PSP
बाना,NN
धारण,VM
करे,VAUX
से,PSP
पहिले,NST
सुखारी,NNP
बाबा,NN
के,PSP
प्रान,NN
बचावल,VM
जरुरी,RB
बा,VAUX
।,SYM
अस्पताल,NN
चहुंपते,VM
डॉक्टर,NN
कहले,VM
अब,NST
दवा-बीरो,NN
बेकार,VM
बा,VAUX
।,SYM
बाबा,NN
बैकुंठ,NN
लोक,NN
चल,VM
गइनी,VAUX
।,SYM
उहे,PRP
संन्यासवाला,NN
गेरुआ,NN
बाबा,NN
के,PSP
पेन्हाके,VM
समाधि,NN
दे,VM
दीहल,VAUX
गइल,VAUX
।,SYM
लोग,NN
कहे,VM
लागल,VAUX
संन्यास,NN
के,PSP
नेवता,NN
सहल,VM
ना,NEG
।,SYM
संन्यासी,NN
के,PSP
मुअला,VM
से,PSP
नेवता,NN
नसा,VM
गइल,VAUX
।,SYM
एह,DEM
गांव,NN
में,PSP
अइसन,DEM
भोज,NN
अब,NST
कबो,PRP
ना,NEG
होई,VM
।,SYM
घरे,NN
लउटत,VM
बेर,NST
गिरधारी,NNP
भगत,NNP
के,PSP
मन,NN
में,PSP
कातना,QF
सवाल,NN
उमड़त,VM
रहे,VAUX
नेवता,NN
में,PSP
कवन,PRP
दोष,NN
रहल,VM
।,SYM
बूढ़,JJ
महात्मा,NN
अपना,PRP
पेट,NN
के,PSP
औकात,NN
से,PSP
बाहर,NN
ठूंस-ठूंस,RB
के,PSP
खा,VM
लिहले,VAUX
।,SYM
पेट,NN
प,PSP
अकरहर,VM
होई,VAUX
त,CC
मुंह-पेट,NN
चलबे,VM
करी,VAUX
।,SYM
बाबा,NN
के,PSP
मुंह-पेट,NN
बैकुंठधाम,NN
तक,PSP
चहुंपा,VM
देहलस,VAUX
।,SYM
जेकर,PRP
मन,NN
भूसा-अनाज,NN
से,PSP
मुक्त,NN
नइखे,NEG
ओकर,PRP
संन्यास,NN
सधल,VM
कठिन,NN
बा,VAUX
।,SYM
भुसउल,NN
के,PSP
आग,NN
जबले,RB
बुताई,VM
ना,NEG
तबले,RB
संन्यास,NN
के,PSP
संकल्प,NN
पूरा,VM
ना,NEG
होई,VAUX
।,SYM
ई,DEM
बात,NN
दोसर,JJ
लोग,NN
समुझत,VM
रहे,VAUX
मगर,CC
गजेन्दर,NNP
के,PSP
मन,NN
में,PSP
ढुकत,VM
ना,NEG
रहे,VAUX
।,SYM
﻿सुविधा,NN
के,PSP
सहर,NN
में,PSP
सांप,NN
आज,NST
अखबार,NN
खोललीं,VM
त,CC
गिनती,NN
में,PSP
बाघन,NN
के,PSP
संख्या,NN
बढ़,VM
गइल,VAUX
रहे,VAUX
।,SYM
केतना,PRP
अजब,RB
लागत,VM
बा,VAUX
गिद्धन,NN
के,PSP
अलोपित,NN
हो,VM
गइल,VAUX
।,SYM
कंठफोड़वा,NN
के,PSP
पेड़,NN
के,PSP
तना,NN
प,PSP
सट,NN
के,PSP
टिर्र-टिर्र,VM
कइल,VAUX
।,SYM
मीडिया,NN
में,PSP
पर्यावरण,NN
प,PSP
बड़,JJ
चिन्ता,NN
लउकेला,VM
।,SYM
एने,RB
चिडिय़ा-घर,NN
में,PSP
लगातार,VM
दूगो,QC
भालु,NN
के,PSP
मरे,VM
के,PSP
खबर,NN
पढ़ले,VM
रहीं,VAUX
।,SYM
जिराफ,NN
बच्चा,NN
देवे,VM
वाली,PSP
बिया,VAUX
एह,PRP
से,RP
बालू,NN
बिछावल,VM
जा,VM
रहल,VAUX
बा,VAUX
ओकरा,PRP
केज,NN
में,PSP
।,SYM
ओकरा,PRP
पहिलका,QO
बच्चा,NN
के,PSP
ना,NEG
बचावल,VM
जा,VM
सकल,VAUX
रहे,VAUX
।,SYM
सेर,NN
के,PSP
घर,NN
में,PSP
एसी,NN
।,SYM
चिता,NN
के,PSP
दुआर,NN
प,PSP
फुहारा,NN
।,SYM
इसकूलन,NN
में,PSP
त,RP
छोट-छोट,JJ
लइकन,NN
से,PSP
नारा,NN
लगवावल,VM
जाला,VAUX
',SYM
पेड़,NN
लगाओ,VM
जीव,NN
बचाओ,VM
।,SYM
',SYM
पूछल,VM
जा,VM
सकेला,VAUX
पेड़,NN
काटावले,VM
काहें,WQ
जात,VAUX
बा,VAUX
?,SYM
के,WQ
कटवावत,VM
बा,VAUX
पेड़,NN
?,SYM
बात,NN
बहुत,QF
दूर,NN
ले,VM
जाई,VAUX
।,SYM
जंगल,NN
में,PSP
अफसरन,NN
से,PSP
मिल,VM
के,PSP
ठेकेदारन,NN
के,PSP
चोरी-चोरी,RB
पेड़,NN
काटल,VM
का,WQ
सरकार,NN
नइखे,NEG
जानत,VM
।,SYM
कह,VM
सकिलें,VAUX
सरकार,NN
के,PSP
जमीन,NN
चाहीं,VM
कल-कारखाना,NN
लगावे,VM
खातिर,PSP
।,SYM
सहर,NN
में,PSP
अब,NST
कहां,WQ
बा,VM
एतना,DEM
जमीन,NN
?,SYM
फेर,CC
लोहा,NN
तांबा,NN
अलमूनिया,NN
के,PSP
रूप,NN
में,PSP
जवन,DEM
खनिज,NN
दबल,VM
बा,VAUX
आदिवासी,JJ
क्षेत्रन,NN
में,PSP
बिना,PSP
ओकरा,DEM
के,PSP
निकलले,VM
विकास,NN
कइसे,WQ
होई,VAUX
?,SYM
सरकार,NN
के,PSP
पेड़,NN
कटवावल,VM
एही,PRP
से,PSP
मजबूरी,NN
बा,VAUX
।,SYM
ठीक,NN
बा,VAUX
बाकी,CC
जे,PRP
तीन,QC
सौ,QC
चार,QC
सौ,QC
बरिस,NN
से,PSP
रहत,VM
आइल,VM
बा,VAUX
जंगल,NN
में,PSP
तेंदु-पत्ता,NN
आ,CC
जड़ी-बूटी,NN
बेच,VM
के,PSP
गुजारा,NN
कइल,VM
जेकर,PRP
जिनगी,NN
बा,VAUX
ओह,DEM
गरीबन,NN
के,PSP
सरकार,NN
मुआवजा,NN
दी,VM
।,SYM
कतहीं,PRP
बसाई,VM
कल-कारखाना,NN
खुलला,VM
प,PSP
कामों,NN
मिल,VM
सकेला,PSP
।,SYM
बाकी,CC
तत्काल,NST
त,RP
मजबूरी,NN
बा,VM
।,SYM
संविधान,NN
में,PSP
लिखल,VM
बा,VAUX
अइसन,DEM
जमीन,NN
जरुरत,RB
पड़ले,VM
प,PSP
उचित,JJ
मुआवजा,NN
देके,VM
सरकार,NN
आपन,PRP
कबजा,NN
में,PSP
ले,VM
सकेले,VAUX
।,SYM
बाकी,CC
संविधान,NN
में,PSP
आदीवासियन,NN
के,PSP
जमीन,NN
लेवे,VM
के,PSP
मनाहियो,VM
त,RP
बा,VAUX
।,SYM
उजारल,JJ
आसान,NN
बा,VM
केतना,PRP
के,PSP
कहां,RB
बसवलस,VM
सरकार,NN
।,SYM
के,WQ
जवाब,NN
दी,VM
?,SYM
टेहरी,NN
बान्ह,NN
के,PSP
उजारल,VM
उड़ीसा,NNP
के,PSP
जंगल,NN
से,PSP
भगावल,VM
लोग,NN
छिछियात,RB
फिरता,VM
केहू,PRP
माई-बाप,NN
आ,CC
पुछवारे,NN
नइखे,NEG
।,SYM
ऊपर,PSP
से,PSP
सरवा,NN
जुडूम,NN
बना,VM
के,PSP
सरकार,NN
ओकरे,DEM
भाई-बंधु,NN
से,PSP
ओकरा,PRP
के,PSP
मरवावत,VM
बिया,VAUX
।,SYM
देस,NN
के,PSP
मूलवासियन,NN
के,PSP
साथे,PSP
अइसन,PRP
बेवहार,VM
?,SYM
अकेले,PRP
में,PSP
इतिहास,NN
के,PSP
पन्ना,NN
खुले,VM
लागल,VAUX
।,SYM
अंग्रेज,NN
सब,QF
जवन,DEM
जमीन,NN
के,PSP
बंदोबस्ती,NN
हमरा,PRP
पुरखन,NN
के,PSP
नाम,NN
कइलन,VM
दरअसल,CC
ओकरा,PRP
पाछे,NST
रैयतन,NN
प,PSP
एगो,QC
मालिक,NN
बहाल,VM
कइल,VAUX
रहे,VAUX
जवना,DEM
में,PSP
आसानी,JJ
से,PSP
टैक्स,NN
वसूली,VM
के,PSP
काम,NN
होत,VAUX
रहे,VAUX
आ,CC
जमीनदार,NN
बिचौलिया,NN
के,PSP
मार्फत,NN
अंग्रेजन,NN
के,PSP
खजाना,NN
में,PSP
पइसा,NN
पहुंचत,VM
रहे,VAUX
।,SYM
बदला,NN
में,PSP
मालिक,NN
रैयतन,NN
से,PSP
चाहे,VM
जेतना,QF
बेगारी,NN
करावे,VM
मारे,NN
पिटे,NN
बहु-बेटी,NN
के,PSP
इज्जत,NN
से,PSP
खेलवाड़,VM
करे,VAUX
।,SYM
आज,NST
जमीन,NN
के,PSP
असमान,NN
बंटवारा,VM
एकरे,PRP
नतीजा,VM
बा,VAUX
कुछे,QF
लोग,NN
के,PSP
गांवन,NN
में,PSP
ढेरहन,JJ
जमीन,NN
बाकी,CC
टोला,NN
के,PSP
टोला,NN
कमतर,VM
।,SYM
हमरो,PRP
दादा,NN
अइसने,DEM
जमींदार,NN
रहन,VM
।,SYM
उनके,PRP
रायबहादुर,NNP
के,PSP
उपाधि,NN
मिलल,VM
रहे,VAUX
।,SYM
बाबूजी,NN
दादो,NN
से,PSP
होसियार,NN
निकललें,VM
।,SYM
बिहार,NNP
के,PSP
गांव,NN
में,PSP
अब,NST
अधिका,JJ
जमीन,NN
ना,NEG
बढ़,VM
सकत,VAUX
रहे,VAUX
एह,PRP
से,PSP
जंगलात,NN
कावर,PSP
रोख,NN
कइलन,VM
।,SYM
फेर,CC
त,RP
कोइला-खदान,NN
के,PSP
ठेकेदारी,NN
ट्रक-के-ट्रक,NN
एह,PRP
करिया,JJ
पाथर,NN
के,PSP
हेरा-फेरी,VM
से,PSP
टाल-भर,QF
सोना,NN
उगाहल,VM
गइल,VAUX
।,SYM
धनबाद,NNP
में,PSP
सैकडऩ,QC
